60,2017-08-16 20:08:13.757169,IMU,"(-20.0, 11.0, 238.0, -27.0, 44.0, -4.0, -230.0, -80.0, 436.0)"
61,2017-08-16 20:08:13.836190,IMU,"(-19.0, 11.0, -29696.0, 6.140182594855486e+29, 6.078361901957043e-39, 1.765537413637381e-38, 1.7944871188715603e-38, 1.7875635834190242e-38, 6.231540639689318e-39)"
62,2017-08-16 20:08:13.921171,IMU,"(-20.0, 11.0, 236.0, -27.0, 44.0, -3.0, -229.0, -79.0, 439.0)"
63,2017-08-16 20:08:14.004171,IMU,"(-19.0, 11.0, 237.0, -27.0, 43.0, -3.0, -230.0, -80.0, 439.0)"
64,2017-08-16 20:08:14.085173,IMU,"(-19.0, 11.0, 237.0, -27.0, 44.0, -3.0, -226.0, -81.0, 433.0)"
65,2017-08-16 20:08:14.164171,IMU,"(-19.0, 12.0, 237.0, -26.0, 44.0, -3.0, -227.0, -80.0, 437.0)"
66,2017-08-16 20:08:14.243185,IMU,"(-20.0, 11.0, 237.0, -27.0, 44.0, -3.0, -227.0, -79.0, 437.0)"
67,2017-08-16 20:08:14.326173,IMU,"(-3.5048003795110086e+34, 9.560218643009632e-41, 2.418921409117499e-41, 6.952682460594012e-41, 2.37436011795197e-41, 6.89663052202102e-41, 7.009294918552735e-41, -6.981268949266239e-41, 0.000489292258862406)"
68,2017-08-16 20:08:14.404173,IMU,"(-20.0, 11.0, 236.0, -27.0, 44.0, -3.0, -227.0, -80.0, 438.0)"
69,2017-08-16 20:08:14.488170,IMU,"(-19.0, 11.0, 237.0, -27.0, 44.0, -3.0, -227.0, -80.0, 440.0)"
70,2017-08-16 20:08:14.566171,IMU,"(-19.0, 11.0, 237.0, -26.0, 44.0, -4.0, -228.0, -79.0, 437.0)"
71,2017-08-16 20:08:14.646172,IMU,"(-18.0, 11.0, 237.0, -27.0, 44.0, -4.0, -229.0, -82.0, -1.3077374652897949e-36)"
72,2017-08-16 20:08:14.726175,IMU,"(-19.0, 10.0, 236.0, -26.0, 45.0, -3.0, -228.0, -83.0, 436.0)"
73,2017-08-16 20:08:14.807172,IMU,"(-18.0, 11.0, 237.0, -26.0, 44.0, -4.0, -228.0, -81.0, 439.0)"
74,2017-08-16 20:08:14.854173,GPS,"(21.98657417297368, 50.018436431884766, 223.5)"
75,2017-08-16 20:08:14.946171,IMU,"(-19.0, 11.0, 238.0, -27.0, 43.0, -3.0, -230.0, -79.0, 438.0)"
76,2017-08-16 20:08:15.023173,IMU,"(-19.0, 9.0, 239.0, -27.0, 44.0, -3.0, -224.0, -80.0, 436.0)"
77,2017-08-16 20:08:15.101173,IMU,"(-20.0, 11.0, 236.0, -26.0, 45.0, -3.0, -229.0, -79.0, 437.0)"
78,2017-08-16 20:08:15.183172,IMU,"(-18.0, 10.0, 238.0, -27.0, 44.0, -4.0, -228.0, -79.0, 440.0)"
79,2017-08-16 20:08:15.262172,IMU,"(-20.0, 10.0, 238.0, -26.0, 44.0, -3.0, -228.0, -82.0, 111616.0)"
80,2017-08-16 20:08:15.342172,IMU,"(-20.0, 11.0, 238.0, -26.0, 44.0, -3.0, -227.0, -78.0, 440.0)"
